location_id,area,pincode,latitude,longitude
L001,Koramangala,560034,12.9352,77.6245
L002,Indiranagar,560038,12.9784,77.6408
L003,Whitefield,560066,12.9698,77.75
L004,HSR Layout,560102,12.9116,77.6474
L005,Jayanagar,560041,12.925,77.5938
L006,JP Nagar,560078,12.9063,77.5857
L007,BTM Layout,560076,12.9166,77.6101
L008,Marathahalli,560037,12.9591,77.6974
L009,Electronic City,560100,12.8452,77.6602
L010,Malleshwaram,560003,13.0031,77.5703
L011,Rajajinagar,560010,12.991,77.555
L012,Banashankari,560050,12.9255,77.5468
L013,Basavanagudi,560004,12.9417,77.5748
L014,MG Road,560001,12.9756,77.6069
L015,Brigade Road,560025,12.9716,77.607
L016,Yelahanka,560064,13.1005,77.5963
L017,Hebbal,560024,13.0358,77.597
L018,Bellandur,560103,12.9257,77.6761
L019,Kalyan Nagar,560043,13.0221,77.6403
L020,Kundalahalli,560037,12.9692,77.715
