menu_id,restaurant_id,item_name,category,price,vegetarian
M00001,R0001,Margherita Pizza,Beverage,306,Yes
M00002,R0001,Lasagna,Dessert,515,Yes
M00003,R0001,Garlic Bread,Main Course,100,No
M00004,R0001,Pulihora,Starter,199,Yes
M00005,R0001,Gongura Chicken,Starter,208,No
M00006,R0001,Quesadilla,Main Course,311,Yes
M00007,R0001,Nachos,Beverage,279,Yes
M00008,R0002,Quesadilla,Dessert,546,Yes
M00009,R0002,Burrito,Beverage,528,Yes
M00010,R0002,Pasta,Starter,166,Yes
M00011,R0002,Veg Steak,Starter,514,Yes
M00012,R0003,Idli,Beverage,356,Yes
M00013,R0003,Vada,Main Course,445,No
M00014,R0003,Masala Dosa,Snack,515,Yes
M00015,R0003,Bisibele Bath,Snack,470,Yes
M00016,R0003,Tom Yum,Dessert,429,No
M00017,R0003,Pad Thai,Main Course,629,Yes
M00018,R0003,Thai Green Curry,Beverage,416,Yes
M00019,R0003,Spring Rolls,Starter,408,No
M00020,R0003,Chole Bhature,Beverage,461,No
M00021,R0003,Paneer Butter Masala,Starter,248,Yes
M00022,R0003,Butter Naan,Starter,457,Yes
M00023,R0003,Dal Makhani,Main Course,228,No
M00024,R0004,Tacos,Dessert,239,Yes
M00025,R0004,Nachos,Beverage,305,Yes
M00026,R0004,Burrito,Snack,601,Yes
M00027,R0004,Quesadilla,Starter,481,Yes
M00028,R0005,Bisibele Bath,Beverage,493,No
M00029,R0005,Idli,Dessert,251,Yes
M00030,R0005,Ice Cream,Dessert,201,Yes
M00031,R0005,Waffle,Starter,312,Yes
M00032,R0005,Brownie,Main Course,228,Yes
M00033,R0005,Gulab Jamun,Dessert,381,No
M00034,R0005,Margherita Pizza,Snack,335,No
M00035,R0005,Pasta Alfredo,Snack,424,No
M00036,R0005,Garlic Bread,Beverage,545,No
M00037,R0006,Chicken Fry,Snack,641,Yes
M00038,R0006,Gongura Chicken,Snack,486,No
M00039,R0006,Kosha Mangsho,Dessert,432,No
M00040,R0006,Fish Curry,Snack,98,Yes
M00041,R0007,Grilled Sandwich,Starter,207,Yes
M00042,R0007,Chicken Steak,Main Course,265,No
M00043,R0007,Gongura Chicken,Starter,183,Yes
M00044,R0007,Pulihora,Main Course,570,Yes
M00045,R0007,Nachos,Snack,145,Yes
M00046,R0007,Quesadilla,Starter,191,Yes
M00047,R0007,Burrito,Starter,579,No
M00048,R0008,Chicken Biryani,Beverage,288,No
M00049,R0008,Veg Biryani,Starter,497,Yes
M00050,R0008,Egg Biryani,Dessert,456,No
M00051,R0008,Kerala Parotta,Snack,180,No
M00052,R0008,Appam,Beverage,460,No
M00053,R0008,Fish Curry,Beverage,615,No
M00054,R0008,Stew,Snack,233,Yes
M00055,R0009,Kosha Mangsho,Dessert,281,No
M00056,R0009,Luchi,Beverage,267,Yes
M00057,R0009,Mishti Doi,Dessert,99,Yes
M00058,R0009,Waffle,Snack,415,Yes
M00059,R0009,Gulab Jamun,Main Course,134,No
M00060,R0009,Brownie,Beverage,615,Yes
M00061,R0009,Ice Cream,Main Course,238,Yes
M00062,R0009,Stew,Snack,485,No
M00063,R0009,Kerala Parotta,Dessert,155,No
M00064,R0009,Fish Curry,Main Course,196,Yes
M00065,R0009,Appam,Beverage,98,No
M00066,R0010,Lasagna,Starter,262,Yes
M00067,R0010,Margherita Pizza,Main Course,192,Yes
M00068,R0011,Chicken Burger,Beverage,197,Yes
M00069,R0011,Veg Burger,Starter,480,Yes
M00070,R0011,Wrap,Beverage,126,Yes
M00071,R0011,French Fries,Beverage,154,Yes
M00072,R0011,Cheesecake,Beverage,217,No
M00073,R0011,Club Sandwich,Snack,333,No
M00074,R0012,Butter Chicken,Dessert,642,Yes
M00075,R0012,Seekh Kebab,Snack,505,Yes
M00076,R0012,Wrap,Dessert,128,Yes
M00077,R0012,Veg Burger,Main Course,340,Yes
M00078,R0012,French Fries,Beverage,339,No
M00079,R0013,Chicken Fry,Starter,392,No
M00080,R0013,Andhra Meals,Starter,261,No
M00081,R0013,Gongura Chicken,Beverage,443,No
M00082,R0013,Pulihora,Starter,622,No
M00083,R0014,Luchi,Beverage,493,No
M00084,R0014,Mishti Doi,Beverage,242,Yes
M00085,R0015,Pad Thai,Main Course,284,No
M00086,R0015,Spring Rolls,Beverage,307,No
M00087,R0015,Thai Green Curry,Snack,329,Yes
M00088,R0016,Fried Rice,Snack,598,No
M00089,R0016,Spring Rolls,Main Course,282,No
M00090,R0017,Mutton Biryani,Main Course,571,No
M00091,R0017,Chicken Biryani,Starter,244,No
M00092,R0017,Veg Biryani,Dessert,161,Yes
M00093,R0017,Egg Biryani,Dessert,210,Yes
M00094,R0018,Gulab Jamun,Snack,463,No
M00095,R0018,Ice Cream,Starter,524,Yes
M00096,R0018,Waffle,Starter,240,Yes
M00097,R0018,Cheesecake,Starter,406,No
M00098,R0018,Cold Coffee,Starter,433,No
M00099,R0018,Club Sandwich,Main Course,122,Yes
M00100,R0019,Tom Yum,Main Course,573,No
M00101,R0019,Spring Rolls,Main Course,596,No
M00102,R0019,Pad Thai,Starter,145,No
M00103,R0019,Thai Green Curry,Main Course,223,No
M00104,R0019,Spring Rolls,Beverage,423,Yes
M00105,R0019,Manchurian,Beverage,322,Yes
M00106,R0019,Fried Rice,Starter,111,Yes
M00107,R0019,Hakka Noodles,Dessert,611,No
M00108,R0020,Paneer Butter Masala,Dessert,158,Yes
M00109,R0020,Butter Naan,Beverage,460,Yes
M00110,R0020,Dal Makhani,Main Course,105,Yes
M00111,R0020,Chole Bhature,Main Course,333,Yes
M00112,R0020,Fish Curry,Beverage,458,No
M00113,R0020,Kosha Mangsho,Snack,386,Yes
M00114,R0020,Veg Biryani,Dessert,151,Yes
M00115,R0020,Mutton Biryani,Starter,638,Yes
M00116,R0020,Chicken Biryani,Main Course,633,No
M00117,R0021,Vada,Snack,338,Yes
M00118,R0021,Masala Dosa,Main Course,119,No
M00119,R0021,Idli,Starter,299,Yes
M00120,R0021,Wrap,Beverage,339,No
M00121,R0021,Chicken Burger,Snack,623,Yes
M00122,R0021,Fish Curry,Starter,188,Yes
M00123,R0021,Kosha Mangsho,Dessert,612,No
M00124,R0021,Luchi,Dessert,241,No
M00125,R0021,Mishti Doi,Beverage,181,No
M00126,R0022,Appam,Snack,616,Yes
M00127,R0022,Kerala Parotta,Starter,275,Yes
M00128,R0022,Stew,Beverage,461,No
M00129,R0022,Fish Curry,Dessert,306,Yes
M00130,R0023,Wrap,Snack,456,Yes
M00131,R0023,French Fries,Main Course,443,No
M00132,R0023,Garlic Bread,Snack,555,No
M00133,R0023,Lasagna,Main Course,356,No
M00134,R0023,Quesadilla,Snack,625,Yes
M00135,R0023,Nachos,Snack,417,Yes
M00136,R0023,Tacos,Main Course,154,Yes
M00137,R0024,Chicken Steak,Dessert,368,No
M00138,R0024,Grilled Sandwich,Dessert,351,No
M00139,R0024,Mishti Doi,Starter,203,Yes
M00140,R0024,Fish Curry,Snack,595,No
M00141,R0024,Kosha Mangsho,Starter,222,Yes
M00142,R0025,Gongura Chicken,Dessert,381,No
M00143,R0025,Chicken Fry,Beverage,539,Yes
M00144,R0025,Cheesecake,Dessert,286,No
M00145,R0025,Cold Coffee,Snack,330,Yes
M00146,R0025,Club Sandwich,Snack,433,No
M00147,R0025,Cappuccino,Beverage,580,No
M00148,R0025,Brownie,Snack,360,Yes
M00149,R0025,Gulab Jamun,Main Course,162,No
M00150,R0025,Waffle,Snack,505,Yes
M00151,R0026,Kerala Parotta,Starter,454,Yes
M00152,R0026,Fish Curry,Beverage,477,No
M00153,R0026,Stew,Dessert,544,No
M00154,R0026,Appam,Starter,399,Yes
M00155,R0027,Quesadilla,Snack,413,No
M00156,R0027,Tacos,Starter,147,Yes
M00157,R0027,Luchi,Starter,206,Yes
M00158,R0027,Mishti Doi,Dessert,141,Yes
M00159,R0027,Kosha Mangsho,Beverage,114,Yes
M00160,R0028,Butter Chicken,Dessert,404,No
M00161,R0028,Seekh Kebab,Beverage,280,Yes
M00162,R0028,Chicken Korma,Starter,403,Yes
M00163,R0028,Pulihora,Dessert,422,Yes
M00164,R0028,Chicken Fry,Beverage,517,No
M00165,R0028,Gulab Jamun,Snack,105,No
M00166,R0028,Brownie,Dessert,485,Yes
M00167,R0028,Waffle,Dessert,629,Yes
M00168,R0029,Quesadilla,Beverage,619,No
M00169,R0029,Burrito,Beverage,571,No
M00170,R0029,Mughlai Paratha,Starter,166,No
M00171,R0029,Chicken Korma,Starter,341,No
M00172,R0029,Butter Chicken,Snack,546,No
M00173,R0030,Mutton Biryani,Dessert,503,No
M00174,R0030,Veg Biryani,Snack,511,Yes
M00175,R0030,Egg Biryani,Dessert,128,No
M00176,R0030,Paneer Butter Masala,Beverage,420,Yes
M00177,R0030,Chole Bhature,Dessert,397,No
M00178,R0030,Fish Curry,Starter,423,Yes
M00179,R0030,Appam,Starter,632,Yes
M00180,R0030,Stew,Dessert,262,Yes
M00181,R0030,Kerala Parotta,Dessert,573,Yes
M00182,R0031,Egg Biryani,Dessert,80,No
M00183,R0031,Mutton Biryani,Beverage,98,No
M00184,R0031,Veg Biryani,Dessert,188,Yes
M00185,R0031,Chicken Biryani,Beverage,524,No
M00186,R0031,Lasagna,Beverage,329,Yes
M00187,R0031,Garlic Bread,Starter,253,Yes
M00188,R0031,Mughlai Paratha,Starter,403,No
M00189,R0031,Butter Chicken,Starter,499,No
M00190,R0031,Seekh Kebab,Dessert,491,No
M00191,R0032,Pasta,Starter,184,No
M00192,R0032,Chicken Steak,Main Course,345,No
M00193,R0032,Butter Chicken,Starter,630,No
M00194,R0032,Chicken Korma,Snack,163,No
M00195,R0032,Mughlai Paratha,Snack,593,Yes
M00196,R0032,Pad Thai,Main Course,160,Yes
M00197,R0032,Tom Yum,Beverage,498,Yes
M00198,R0032,Thai Green Curry,Starter,390,Yes
M00199,R0033,Tom Yum,Starter,206,Yes
M00200,R0033,Spring Rolls,Starter,358,No
M00201,R0033,Pad Thai,Starter,373,No
M00202,R0033,Thai Green Curry,Dessert,517,Yes
M00203,R0033,Gulab Jamun,Starter,109,No
M00204,R0033,Brownie,Beverage,530,Yes
M00205,R0033,Ice Cream,Snack,235,Yes
M00206,R0033,Mishti Doi,Snack,639,No
M00207,R0033,Kosha Mangsho,Main Course,197,No
M00208,R0033,Luchi,Beverage,369,No
M00209,R0033,Fish Curry,Beverage,86,No
M00210,R0034,Dal Makhani,Beverage,281,No
M00211,R0034,Butter Naan,Main Course,498,Yes
M00212,R0034,Tacos,Snack,404,Yes
M00213,R0034,Burrito,Main Course,519,No
M00214,R0034,Quesadilla,Starter,110,No
M00215,R0034,Nachos,Starter,513,Yes
M00216,R0034,Egg Biryani,Snack,636,No
M00217,R0034,Chicken Biryani,Main Course,234,No
M00218,R0035,Margherita Pizza,Snack,341,Yes
M00219,R0035,Pasta Alfredo,Dessert,324,No
M00220,R0035,Garlic Bread,Main Course,564,No
M00221,R0035,Cheesecake,Dessert,114,Yes
M00222,R0035,Club Sandwich,Beverage,280,Yes
M00223,R0035,Chicken Burger,Beverage,188,No
M00224,R0035,Wrap,Beverage,148,Yes
M00225,R0036,Vada,Dessert,458,Yes
M00226,R0036,Idli,Snack,633,Yes
M00227,R0036,Mughlai Paratha,Main Course,576,Yes
M00228,R0036,Seekh Kebab,Beverage,612,No
M00229,R0036,Chicken Korma,Snack,438,No
M00230,R0037,Stew,Dessert,562,Yes
M00231,R0037,Kerala Parotta,Main Course,218,No
M00232,R0037,Fish Curry,Snack,588,Yes
M00233,R0037,Appam,Snack,183,No
M00234,R0037,Pulihora,Dessert,599,No
M00235,R0037,Andhra Meals,Dessert,243,No
M00236,R0037,Thai Green Curry,Main Course,346,No
M00237,R0037,Pad Thai,Dessert,638,No
M00238,R0037,Tom Yum,Dessert,474,Yes
M00239,R0037,Spring Rolls,Beverage,596,Yes
M00240,R0038,Paneer Butter Masala,Starter,226,Yes
M00241,R0038,Butter Naan,Main Course,383,No
M00242,R0038,Veg Burger,Beverage,181,Yes
