restaurant_id,cuisine_id
R0001,C004
R0001,C011
R0001,C013
R0002,C013
R0002,C005
R0003,C002
R0003,C014
R0003,C001
R0004,C013
R0005,C002
R0005,C010
R0005,C004
R0006,C011
R0006,C015
R0007,C005
R0007,C011
R0007,C013
R0008,C006
R0008,C012
R0009,C015
R0009,C010
R0009,C012
R0010,C004
R0011,C008
R0011,C009
R0012,C007
R0012,C008
R0013,C011
R0014,C015
R0015,C014
R0016,C003
R0017,C006
R0018,C010
R0018,C009
R0019,C014
R0019,C003
R0020,C001
R0020,C015
R0020,C006
R0021,C002
R0021,C008
R0021,C015
R0022,C012
R0023,C008
R0023,C004
R0023,C013
R0024,C005
R0024,C015
R0025,C011
R0025,C009
R0025,C010
R0026,C012
R0027,C013
R0027,C015
R0028,C007
R0028,C011
R0028,C010
R0029,C013
R0029,C007
R0030,C006
R0030,C001
R0030,C012
R0031,C006
R0031,C004
R0031,C007
R0032,C005
R0032,C007
R0032,C014
R0033,C014
R0033,C010
R0033,C015
R0034,C001
R0034,C013
R0034,C006
R0035,C004
R0035,C009
R0035,C008
R0036,C002
R0036,C007
R0037,C012
R0037,C011
R0037,C014
R0038,C001
R0038,C008
R0038,C003
R0039,C015
R0040,C013
R0041,C011
R0041,C012
R0042,C008
R0043,C014
R0044,C010
R0044,C002
R0045,C005
R0045,C011
R0046,C015
R0047,C008
R0047,C003
R0048,C007
R0048,C004
R0048,C010
R0049,C005
R0049,C014
R0049,C013
R0050,C011
R0051,C005
R0051,C015
R0051,C004
R0052,C014
R0053,C013
R0053,C003
R0053,C014
R0054,C009
R0054,C001
R0055,C004
R0055,C002
R0056,C003
R0057,C001
R0057,C012
R0057,C006
R0058,C009
R0058,C011
R0059,C010
R0059,C011
R0060,C013
R0060,C014
R0060,C011
R0061,C002
R0061,C007
R0061,C008
R0062,C007
R0062,C002
R0063,C011
R0063,C007
R0063,C006
R0064,C006
R0064,C011
R0064,C009
R0065,C001
R0066,C010
R0066,C004
R0066,C003
R0067,C005
R0067,C012
R0068,C014
R0069,C001
R0070,C004
R0070,C015
R0071,C006
R0071,C015
R0072,C013
R0072,C007
R0072,C011
R0073,C010
R0074,C001
R0074,C008
R0074,C015
R0075,C006
R0075,C010
R0076,C003
R0076,C008
R0077,C003
R0077,C014
R0078,C004
R0078,C005
R0078,C006
R0079,C005
R0079,C008
R0079,C011
R0080,C010
R0080,C014
R0080,C015
R0081,C008
R0082,C015
R0082,C010
R0082,C014
R0083,C003
R0083,C010
R0083,C012
R0084,C001
R0084,C007
R0084,C012
R0085,C005
R0085,C011
R0085,C015
R0086,C005
R0087,C014
R0087,C007
R0087,C011
R0088,C009
R0088,C012
R0089,C008
R0090,C009
R0090,C013
R0091,C013
R0092,C007
R0092,C011
R0093,C010
R0094,C007
R0095,C008
R0095,C001
R0095,C004
R0096,C006
R0096,C002
R0096,C010
R0097,C001
R0098,C004
R0099,C003
R0099,C009
R0100,C014
