restaurant_id,restaurant_name,restaurant_type,rating,votes,approx_cost_for_two,online_order,table_booking,location_id
R0001,Food Cafe,Fine Dining,3.5,496,1000,Yes,No,L015
R0002,The Corner,Casual Dining,4.1,799,1200,No,Yes,L003
R0003,Urban Tadka,Casual Dining,2.9,2077,500,No,Yes,L012
R0004,House Treats,Cafe,4.3,1297,1200,Yes,No,L019
R0005,Food Hub,Casual Dining,3.7,1393,500,Yes,Yes,L009
R0006,Cafe Eats,Food Court,4.4,1985,300,Yes,No,L003
R0007,Taste Restaurant,Quick Bites,3.0,1025,800,Yes,No,L010
R0008,Kitchen Grill,Bakery,3.5,367,1000,No,No,L008
R0009,Basil Diner,Casual Dining,4.0,1182,500,Yes,Yes,L015
R0010,Bangalore Kitchen,Fine Dining,3.9,2366,400,Yes,No,L008
R0011,Street Tadka,Bakery,3.6,532,1000,Yes,No,L007
R0012,Blue Corner,Cafe,3.9,1515,400,No,No,L003
R0013,Street Eats,Casual Dining,3.4,893,1000,Yes,No,L015
R0014,The Treats,Casual Dining,3.9,1708,400,Yes,No,L005
R0015,Food Express,Casual Dining,4.4,1081,500,Yes,No,L019
R0016,Copper Table,Food Court,4.1,1438,200,Yes,Yes,L007
R0017,Royal Grill,Quick Bites,3.4,1287,500,Yes,Yes,L006
R0018,Street Cafe,Casual Dining,3.8,593,500,Yes,No,L017
R0019,Fusion Hub,Food Court,3.8,1789,200,Yes,No,L017
R0020,Blue Table,Casual Dining,4.0,865,1000,No,Yes,L006
R0021,Taste Corner,Quick Bites,4.3,2221,200,Yes,No,L005
R0022,Garden Bowl,Quick Bites,4.9,1985,400,Yes,No,L003
R0023,Namma Grill,Food Court,4.2,670,400,Yes,Yes,L020
R0024,Grand House,Quick Bites,2.9,2423,1200,Yes,No,L007
R0025,Spice Kitchen,Food Court,4.5,2086,200,Yes,No,L016
R0026,Royal Cafe,Quick Bites,4.1,616,200,Yes,No,L001
R0027,Namma Treats,Cafe,3.6,986,200,Yes,Yes,L003
R0028,Kitchen Hub,Fine Dining,3.5,1949,1200,No,No,L016
