review_id,restaurant_id,review_date,rating,review_text
REV00001,R0067,2026-02-10,2,"Loved the food, will visit again"
REV00002,R0072,2025-09-04,4,Excellent taste and ambience
REV00003,R0062,2026-01-22,3,Great food and good service
REV00004,R0059,2025-12-15,3,Average experience
REV00005,R0062,2026-08-19,4,Service was a little slow
REV00006,R0022,2026-01-23,4,Food was okay but could be better
REV00007,R0049,2026-04-26,5,Great food and good service
REV00008,R0015,2025-09-30,5,Excellent taste and ambience
REV00009,R0058,2025-11-11,4,Food was okay but could be better
REV00010,R0059,2025-08-17,4,Great food and good service
REV00011,R0028,2025-01-02,3,"Loved the food, will visit again"
REV00012,R0082,2026-05-26,3,Great food and good service
REV00013,R0030,2025-06-20,5,Average experience
REV00014,R0094,2026-07-21,4,Great food and good service
REV00015,R0040,2025-06-29,4,Food was okay but could be better
REV00016,R0095,2026-07-19,3,Service was a little slow
REV00017,R0052,2026-01-02,4,Great food and good service
REV00018,R0044,2025-04-08,4,Portions were good
REV00019,R0032,2025-03-13,4,Great food and good service
REV00020,R0042,2025-05-19,3,Service was a little slow
REV00021,R0043,2026-05-21,4,Average experience
REV00022,R0085,2026-02-28,4,Service was a little slow
REV00023,R0056,2026-05-08,4,Food was tasty and fresh
REV00024,R0054,2025-08-21,4,Great food and good service
REV00025,R0099,2025-05-29,3,Food was tasty and fresh
REV00026,R0066,2025-03-04,3,Excellent taste and ambience
REV00027,R0083,2025-01-06,5,Food was tasty and fresh
REV00028,R0056,2025-01-28,5,Nice ambience and friendly staff
REV00029,R0038,2025-10-26,3,Good value for money
REV00030,R0058,2025-09-26,5,Good value for money
REV00031,R0058,2025-09-04,5,Food was tasty and fresh
REV00032,R0058,2025-09-09,5,Food was tasty and fresh
REV00033,R0056,2025-07-29,3,Excellent taste and ambience
REV00034,R0097,2026-03-23,3,Excellent taste and ambience
REV00035,R0088,2026-05-07,4,Portions were good
REV00036,R0016,2025-07-03,4,Excellent taste and ambience
REV00037,R0014,2026-08-02,5,Food was okay but could be better
REV00038,R0024,2026-05-25,3,"Loved the food, will visit again"
REV00039,R0073,2025-01-10,4,Food was tasty and fresh
REV00040,R0067,2025-06-01,3,Average experience
REV00041,R0067,2025-06-11,2,Service was a little slow
REV00042,R0095,2026-03-10,5,Good value for money
REV00043,R0012,2025-07-02,4,Great food and good service
REV00044,R0089,2026-08-01,5,Food was tasty and fresh
REV00045,R0021,2026-04-14,5,Great food and good service
REV00046,R0038,2025-05-23,4,Food was okay but could be better
REV00047,R0052,2025-03-11,5,Great food and good service
REV00048,R0047,2026-04-16,5,Good value for money
REV00049,R0091,2026-07-06,5,Nice ambience and friendly staff
REV00050,R0010,2025-12-11,5,Good value for money
REV00051,R0072,2025-01-05,5,Food was okay but could be better
REV00052,R0053,2025-11-07,5,Average experience
REV00053,R0056,2025-07-16,4,Portions were good
REV00054,R0059,2026-05-29,3,Great food and good service
REV00055,R0060,2025-04-18,5,Service was a little slow
REV00056,R0090,2026-03-21,4,"Loved the food, will visit again"
REV00057,R0092,2026-05-10,3,Nice ambience and friendly staff
REV00058,R0031,2026-07-18,4,Portions were good
REV00059,R0076,2025-04-21,3,Great food and good service
REV00060,R0065,2025-07-10,4,Food was okay but could be better
REV00061,R0054,2025-01-22,4,"Loved the food, will visit again"
REV00062,R0099,2025-07-27,4,Excellent taste and ambience
REV00063,R0062,2026-08-25,3,Great food and good service
REV00064,R0038,2026-05-11,5,"Loved the food, will visit again"
REV00065,R0035,2026-03-21,4,"Loved the food, will visit again"
REV00066,R0027,2025-09-26,3,Great food and good service
REV00067,R0031,2025-01-06,4,Average experience
REV00068,R0086,2026-07-24,4,Great food and good service
REV00069,R0023,2025-01-05,4,Food was okay but could be better
REV00070,R0020,2026-01-25,4,"Loved the food, will visit again"
REV00071,R0059,2025-09-06,4,Service was a little slow
REV00072,R0044,2026-02-03,4,Food was tasty and fresh
REV00073,R0063,2025-12-03,4,Food was tasty and fresh
REV00074,R0019,2025-05-02,4,Excellent taste and ambience
REV00075,R0024,2025-12-29,2,Nice ambience and friendly staff
REV00076,R0065,2025-12-21,5,Good value for money
REV00077,R0013,2026-04-08,5,Good value for money
REV00078,R0040,2025-07-06,5,Good value for money
REV00079,R0045,2025-07-13,4,Food was tasty and fresh
REV00080,R0008,2025-06-20,2,Portions were good
REV00081,R0045,2025-05-05,2,Portions were good
REV00082,R0080,2026-04-03,4,"Loved the food, will visit again"
REV00083,R0018,2026-01-17,3,Service was a little slow
REV00084,R0069,2025-12-16,2,"Loved the food, will visit again"
REV00085,R0056,2025-01-04,4,Service was a little slow
REV00086,R0006,2025-10-15,5,Food was okay but could be better
REV00087,R0018,2026-04-02,4,Average experience
REV00088,R0074,2025-07-31,2,"Loved the food, will visit again"
REV00089,R0063,2026-02-20,5,"Loved the food, will visit again"
REV00090,R0070,2025-10-18,4,"Loved the food, will visit again"
REV00091,R0065,2026-05-30,5,Portions were good
REV00092,R0060,2025-03-17,4,Service was a little slow
REV00093,R0014,2025-08-21,3,Portions were good
REV00094,R0023,2025-03-24,4,Average experience
REV00095,R0047,2025-10-08,4,Nice ambience and friendly staff
REV00096,R0025,2026-08-09,4,Food was okay but could be better
REV00097,R0058,2025-01-25,5,Food was tasty and fresh
REV00098,R0048,2025-04-09,4,Average experience
REV00099,R0021,2026-03-24,4,Nice ambience and friendly staff
REV00100,R0076,2025-05-01,4,Food was okay but could be better
REV00101,R0082,2025-07-06,1,Food was okay but could be better
REV00102,R0016,2025-09-19,5,Portions were good
REV00103,R0047,2025-11-29,4,Good value for money
REV00104,R0002,2026-04-19,3,Excellent taste and ambience
REV00105,R0007,2026-07-29,3,Excellent taste and ambience
REV00106,R0012,2025-05-21,3,Great food and good service
REV00107,R0063,2026-06-04,3,Average experience
REV00108,R0090,2025-06-24,4,Average experience
REV00109,R0030,2025-03-12,3,Good value for money
REV00110,R0037,2025-07-14,3,Good value for money
REV00111,R0047,2025-01-21,3,Average experience
REV00112,R0027,2025-11-07,4,Good value for money
REV00113,R0029,2025-06-13,4,Nice ambience and friendly staff
REV00114,R0022,2025-08-12,4,Nice ambience and friendly staff
REV00115,R0069,2026-04-16,3,Nice ambience and friendly staff
REV00116,R0013,2026-03-03,4,"Loved the food, will visit again"
REV00117,R0093,2026-01-02,4,Good value for money
REV00118,R0073,2026-07-04,3,"Loved the food, will visit again"
REV00119,R0079,2026-01-23,5,Nice ambience and friendly staff
REV00120,R0082,2026-06-01,4,Good value for money
REV00121,R0087,2025-10-27,4,Nice ambience and friendly staff
REV00122,R0077,2026-08-30,5,Service was a little slow
REV00123,R0068,2025-07-08,5,Food was tasty and fresh
REV00124,R0095,2025-06-30,5,Nice ambience and friendly staff
REV00125,R0059,2025-11-12,3,Excellent taste and ambience
REV00126,R0017,2025-05-24,2,Service was a little slow
REV00127,R0031,2025-12-07,5,Good value for money
REV00128,R0071,2026-02-14,4,Nice ambience and friendly staff
REV00129,R0012,2026-01-21,4,Food was okay but could be better
REV00130,R0024,2025-04-18,2,Food was tasty and fresh
REV00131,R0026,2025-11-27,4,Food was tasty and fresh
REV00132,R0012,2025-07-14,4,Food was okay but could be better
REV00133,R0027,2025-11-12,5,"Loved the food, will visit again"
REV00134,R0030,2026-08-19,5,"Loved the food, will visit again"
REV00135,R0028,2026-03-20,3,Food was okay but could be better
REV00136,R0040,2025-12-27,4,"Loved the food, will visit again"
REV00137,R0042,2025-08-25,5,"Loved the food, will visit again"
REV00138,R0057,2026-04-13,3,Nice ambience and friendly staff
REV00139,R0027,2026-04-19,3,Portions were good
REV00140,R0066,2025-01-12,5,Excellent taste and ambience
REV00141,R0073,2026-05-20,4,Nice ambience and friendly staff
REV00142,R0048,2025-02-08,5,Nice ambience and friendly staff
REV00143,R0065,2026-01-21,5,Portions were good
REV00144,R0078,2025-07-13,5,Average experience
REV00145,R0028,2025-05-08,4,Food was okay but could be better
REV00146,R0076,2025-05-30,2,Excellent taste and ambience
REV00147,R0070,2025-07-25,4,Good value for money
REV00148,R0056,2025-04-06,5,Great food and good service
REV00149,R0045,2025-07-14,4,Service was a little slow
REV00150,R0096,2025-05-03,4,Average experience
REV00151,R0068,2026-01-31,3,Great food and good service
REV00152,R0087,2025-05-22,5,Service was a little slow
REV00153,R0046,2026-01-07,4,Service was a little slow
REV00154,R0078,2025-02-12,5,Great food and good service
REV00155,R0031,2025-04-20,4,"Loved the food, will visit again"
REV00156,R0062,2025-09-08,2,Good value for money
REV00157,R0035,2026-05-26,4,Portions were good
REV00158,R0095,2026-05-23,5,Portions were good
REV00159,R0072,2026-08-31,4,Service was a little slow
REV00160,R0054,2025-12-10,4,"Loved the food, will visit again"
REV00161,R0090,2026-03-13,3,Great food and good service
REV00162,R0081,2025-11-22,4,Excellent taste and ambience
REV00163,R0029,2025-07-07,3,Food was tasty and fresh
REV00164,R0069,2026-04-20,4,Good value for money
REV00165,R0020,2025-04-12,4,Portions were good
REV00166,R0086,2026-04-21,4,Good value for money
REV00167,R0053,2025-07-19,4,Food was okay but could be better
REV00168,R0090,2025-01-26,5,Service was a little slow
REV00169,R0043,2026-03-16,5,Food was tasty and fresh
REV00170,R0039,2026-03-11,3,Service was a little slow
REV00171,R0078,2026-06-07,4,"Loved the food, will visit again"
REV00172,R0098,2026-03-03,4,Food was tasty and fresh
REV00173,R0064,2026-01-04,5,Food was okay but could be better
REV00174,R0092,2026-07-31,2,Food was tasty and fresh
REV00175,R0072,2026-01-11,5,Service was a little slow
REV00176,R0011,2025-12-25,4,Good value for money
REV00177,R0025,2026-07-17,5,Average experience
REV00178,R0037,2025-02-15,4,Average experience
REV00179,R0088,2025-04-26,3,"Loved the food, will visit again"
REV00180,R0004,2025-03-16,5,Great food and good service
REV00181,R0007,2026-03-14,1,Portions were good
REV00182,R0087,2026-03-05,4,Service was a little slow
REV00183,R0028,2025-02-23,2,Food was tasty and fresh
REV00184,R0097,2025-06-13,4,Food was tasty and fresh
REV00185,R0030,2026-02-18,3,Good value for money
REV00186,R0093,2025-03-20,5,Excellent taste and ambience
REV00187,R0089,2026-07-13,3,Average experience
REV00188,R0064,2025-09-03,4,Good value for money
REV00189,R0038,2026-06-03,2,"Loved the food, will visit again"
REV00190,R0081,2025-06-18,3,Food was okay but could be better
